“海尔，这是阿包特·泰姆”这句台词出自哪款游戏？星际争霸2 
被成为“一生万物、万物归一者”的是 Yog-Sothoth 
游戏《帝国时代2》中，中国的特色兵种是？ 诸葛弩手 
“钉宫病”是指有关哪位声优的病症？ 钉宫理惠 
日语的元音的罗马音是？ aiueo 
《十二国记》的作者是谁 小野不由美 
《青之驱魔师》是作者是那位？ 加藤和惠 
以下哪一部作品的剧本不是虚渊玄？ 尘骸魔京 
游戏MONSTER HUNTER 3G 中共有几种武器？ 12 
拼音“s”的发音是？ 唇齿清擦音 
下列各项不属于电脑操作系统的是 S60 
Operation Skuld出自哪部动画？ Chaos;Head 
动画《回转企鹅罐》的监督是谁？ 几原邦彦 
《Angel Beast》的女主角是谁？ 立华奏 
以下谁拥有Geass的能力？ 鲁鲁修 
新日暮中的黑暗势力统领是谁？ VAN样 
海猫鸣泣之时的武具是叫什么名字？ 谢斯塔姐妹兵 
key君是谁？ 杉崎健 
以下哪个人不属于ACG界四大人渣？ 结城梨斗 
以下哪部作品没有得过这本轻小说真厉害排行榜的第一？ 龙与虎 
逢坂大河是哪部作品的主角 龙与虎 
《机动战士高达00》中刹那.f.清英的配音是谁？ 宫野真守 
日本剑圣宫本武藏自创的武术是什么？ 二天一流 
下面哪个角色不是浪川大辅配的？ 怪盗基德 
英雄联盟中国服三大永久免费英雄之一是？ 流浪法师 
声优界中的大辅家族不包括以下哪个姓 铃木？ 
《无头骑士异闻录》中,黄巾贼的首领被称呼为？ 将军 
以下哪一个动画原作者是男性？ 黑塔利亚 
空条Q太郎在JOJO里出场了多少部？ 3 
2ch上某gal讨论板块“叶键版”分别指的是那两个游戏厂商 Moon Laef&Key ? 
Fate Zero第二季中的OP作者是谁 梶浦由记 
以下哪个词是来自日语，意为不引人注意的小知识 豆知识 
魂中吉原的百华自卫队首领是？ 月咏 
最终幻想零式中,machina最多可以展开强力攻击多少次 10 
下列哪个不是最早的“讲卫生除四害”之中的“四害” 蟑螂 
“夏亚你算计我”这句话是哪位人物的名言 卡尔玛 扎比 
亚洲颜艺三巨头不包括？ 葛炮 
"只要是活着的东西，即使是神也杀给你看"是下面哪个人的名言？ 两仪式 
以下哪一位CV不属于声优御三家堀江由衣 花泽香菜 
中国的第一艘航空母舰叫什么名字 辽宁号 
以下哪一位不属于type moon？ 小山广和 
光线是波动，也是（ )。 粒子 
1.《蔷薇少女》中翠星石的瞳色是？ 
左绿右红 
2.当PCl5 = PCl3 +Cl2的化学平衡常数Kc=1.8M时，在0.5L的容器中加入0.15molPCl5,求平衡后Cl2的浓度 
0.26M 
3.《to love》中的梨斗的妹妹的配音是谁？ 
花泽香菜 
4.以下哪位角色脸上没有刀疤？ 
阿鲁卡多@HELLSING 
5.“我的这把刀可是涂满了毒药的毒刃”出自于哪部作品 
勇士闯魔城 
6.下列动画作品中，那一部是由京都动画公司制作的。 
幸运星 
7.高达鲁姆会战中吉翁一方出动了多少艘姆赛级巡洋舰？ 
69 
8.《加速世界》男主角是谁？ 
有田春雪 
9.《今天开始做魔王》中，涉谷有利第一次是怎么穿越的？ 
被女厕的抽水马桶冲到异界 
10.在缩写“ACG”中字母“G”代表什么？ 
Game 
11.在动漫《叛逆的鲁路修》中，C.C.的头发的颜色是？ 
绿色 
12.凡能从石台上拔出此剑者，即为英格兰的天命之王。出自哪部动漫？ 
命运之夜 
13.3dmax中旋转视图按哪个键 
alt+鼠标中键 
14.以下哪个不是鬼畜全明星成员？ 
金凯瑞 
15.游戏《帝国时代2》中，中国的特色兵种是？ 
诸葛弩手 
16.“钉宫病”是指有关哪位声优的病症？ 
钉宫理惠 
17.晓美焰的声优是？ 
斋藤千和 
18.下列哪个人物与《kiss×sis》中「住之江理香」的配音相同？ 
蕾蒂西亚（问题儿童都来自异世界？） 
19.请问被称为名作之壁的是什么动漫？ 
Infinite Stratos 
20.我国4个直辖市中哪个面积最大？ 
重庆 
21.《clannad》中藤林杏所养的宠物小野猪的名字是什么？ 
牡丹 
22.葛平的职业是？（说正经的） 
配音演员 
23.日语的元音的罗马音是？ 
aiueo 
24.农业不发达，必须要有什么？ 
金克拉 
25.阿卡林的原名是... 
赤座灯里 
26.《十二国记》的作者是谁 
小野不由美 
27.《青之驱魔师》是作者是那位？ 
加藤和惠 
28.以下哪一部作品的剧本不是虚渊玄？ 
尘骸魔京 
29．以下哪一款RPG（角色扮演游戏）属于WRPG（欧美角色扮演游戏）？ 
博德之门 
30.《银魂》中男主角是谁? 
坂田银时 
31.游戏MONSTER HUNTER 3G 中共有几种武器？ 
12 
32.夏目友人帐中的猫咪老师（斑）被动漫爱好者称呼为？ 
娘口三三 
33.元首曾经去过中国的哪个省份？ 
河北省 
34.钉宫四萌哪个出现的最早 
夏娜 
35.动漫《FATE ZERO》中，Rider的名字是？ 
亚历山大·伊斯坎达尔 
36.官方逼死了谁？ 
同人 
37.北极熊的毛是什么颜色？ 
透明 
38.《死神》现任二番队队长大人的名字是？ 
碎蜂 
39.“不要叫我大王，要叫我_______！” 空缺处填？ 
女王大人 
40.拼音“s”的发音是？ 
唇齿清擦音 
41.零之使魔中露易丝在托里斯汀所打工的酒馆前身叫什么 
鳗鱼之睡床 
42.《龙与虎》中的逢坂大河声优是谁？ 
钉宫理惠 
43.下列各项不属于电脑操作系统的是 
S60 
44.Operation Skuld出自哪部动画？ 
Chaos;Head 
45.FFF团作为一种自发组织的民间团体主要活动形式是？ 
烧死情侣 
46.《摇曳百合》中京子最喜欢的冰激凌口味是什么？ 
朗姆酒葡萄干 
47.哪部是key社所谓的秋？ 
One 
48.以下哪个不是国产游戏。 
空之轨迹 
49.虚渊玄被称为？（四个中文汉字） 
爱的战士 
50.一部动漫名称，《XXXX的忧郁》，XXXX应为？ 
凉宫春日 
51.动画《回转企鹅罐》的监督是谁？ 
几原邦彦 
52.自古枪兵幸运 。 
E 
53.《Angel Beast》的女主角是谁？ 
立华奏 
54.以下谁拥有Geass的能力？ 
鲁鲁修 
55.新日暮中的黑暗势力统领是谁？ 
VAN样 
56.XX我成为正义的伙伴了吗？ 
切嗣 
57.400大妈是指 
东映蜘蛛人 
58.海猫鸣泣之时的武具是叫什么名字？ 
谢斯塔姐妹兵 
59.key君是谁？ 
杉崎健 
60.以下哪个人不属于ACG界四大人渣？ 
结城梨斗 
61.某部机甲动漫中出现的经典台词是？ 
我爸爸都没打过我！ 
62.以下哪个地区代表未出现在金克拉广告中？ 
俄罗斯 
63.阿良良木历有几个妹妹？ 
2个 
64.金坷垃三人组里的非洲人叫什么名字。 
东仙队长 
65.以下哪部作品没有得过这本轻小说真厉害排行榜的第一？ 
龙与虎 
66.逢坂大河是哪部作品的主角 
龙与虎 
67.洛天依的声源是 
山新 
68.《机动战士高达00》中刹那.f.清英的配音是谁？ 
宫野真守 
69.《Love Live!》中的小泉花阳最喜欢的食物是。 
白米饭 
70.NTSC制式的视频帧率是 
30fps 
71.博丽灵梦所在的神社是什么？ 
博丽神社 
72.日本剑圣宫本武藏自创的武术是什么？ 
二天一流 
73.“今天的风儿好喧嚣啊”的出处。 
男子高中生的日常 
74.声优喜多村英梨被中国网友戏称为？ 
酋长 
75.下面哪个角色不是浪川大辅配的？ 
怪盗基德 
76.《虫之歌》中的狮子堂戌子绰号是？ 
小狗 
77.谁被称为日本动画界的黑泽明？ 
宫崎骏 
78.回转企鹅罐中一共有多少个ED？出了多少个OST？ 
10，8 
79.以下不是光色三原色的是？ 
绿色 
80.物语系列中忍野忍拥有的妖刀名号是？ 
心渡 
81.高达的英文缩写是。 
GUNDAM 
82.蒙奇·D·路飞出自哪个作品。 
海贼王 
83.“给我一个支点，我可以撬动地球”这句话是谁说的？ 
阿基米德 
84.《中二病也要谈恋爱》中小鸟游六花的姐姐叫什么名字？ 
小鸟游十花 
85.《英雄联盟》中盖伦是哪个势力的。 
德玛西亚 
86.幽灵行军不是谁的固有结界 
梵·斐姆 
87.《化物语》中战场原黑仪的配音是谁？ 
斋藤千和 
88.春秋战国时期，哪家学说的主张是“兼爱”“非攻”？ 
墨家 
89.《未来日记》中女主叫什么名字？ 
我妻由乃 
90.路飞的爷爷是？ 
海军 
91.“拔刀，拔刀，拔刀”出自哪部漫画？ 
K 

B站注册答案1300题，大多都有的，配合百度搜索一下，70--80分没问题。本内容来自自己摸索和网络搜索合辑。
以下哪个游戏不是saga planets的作品
 Coming Humming  さくら、咲きました  キサラギGOLD★STAR  はつゆきさくら
战略大作战这部电影当中，主角们做了啥？
 用地雷搞爆了虎式坦克的菊花  击沉了战列舰  把了巴顿的妹子  开着谢尔曼抢银行
传说中人称兵库北小姐的女性声优是
 宫村优子  寿美菜子  花泽香菜  榊原ゆい
《哆啦A梦》中多啦A梦是从什么时代来的？
 21世纪  25世纪  23世纪  22世纪
国产动画《魁拔》中，主角的名字是？
 三十张  野吉  蛮凶  蛮吉
游戏公司“南梦宫”有一个数字缩写，是什么？
123	765  573  876
坦克世界中唯一一辆满仇恨值的黄金色坦克是什么？
 59式G型  59式  E-100  IS-3
问更新姬的发式
 黑色单马尾  红色波浪卷  红色长直发  绿色双马尾
网络上11区指的是那个国家？
 韩国  日本  英国  美国
刺客信条中的袖箭不切手指是被谁改进的？
 康纳  艾吉奥  达芬奇  阿泰尔
《命运石之门》中凤凰院凶真的配音是？
 宫野真受  宫野真攻  宫野真守  宫野假守
真女神轉生3 狂熱版’中，但丁和人修羅初次見面的地點是？
 銀座  新宿  池袋  歌舞伎町
以下那個不是釘宮四萌?
 逢坂大河  露易絲·法蘭西斯·露·布朗·杜·拉·瓦利埃爾  三千院凪  神崎·H·亞里亞
谁不懂人心了？
 宙斯  亚瑟王  秦始皇  奥丁
黑猫警长每集打四枪出现四个字是?
 惩奸除恶  保卫人民  百步穿杨  请看下集
在鬼武者3最终关左马介吸收了信长的爱刀所融合出的最强之剑的正确名称是
 鬼斩左文字  鬼斩上文字  鬼斩右文字  鬼斩下文字
人妻声优門脇舞以的马甲是？
 桃子御津  杏子御津  梨子御津  橘子御津
与洛天依有关的代码是？
 66CCFF  3366FF  0033CC  3399FF
《口袋妖怪》历作游戏中，能够让PM的等级提高一级的道具是？
 等级提升  奇异甜食  值上升  余物
冻土的旅人中《白色荒野》一章改编自____的小说
 乔安妮·凯瑟琳·罗琳  费奥多罗夫  杰克伦敦  巴尔扎克
生化危机系列中，僵尸的始作俑者是？
 C病毒  B病毒  T病毒  A病毒
绑在魂魄妖梦的楼观剑上的花叫什么名字
 冬樱  春樱  夏樱  秋樱
《圣斗士星矢》冥王篇中谁是被冥王哈迪斯选中肉体的圣斗士？
 一辉  瞬  冰河  紫龙
以下哪个系列的发行商不是Ubisoft（育碧）
 孤岛危机系列  刺客信条系列  波斯王子系列  孤岛惊魂系列
伊克西翁传说DT》玛丽安戴尔的声优是？
 钉宫理惠  花泽香菜  石田彰  福山润
《中二病也要谈恋爱》当中丹生谷森夏从“中二病”毕业以后转而相信了什么
 风水  黑暗圣典  占卜  星座
《冰菓》中奉太郎的人生信条是？
 节能主义  反对恋爱  脱离中二  和平主义
《妖精的尾巴》中，妖精的尾巴公会的第二代灭龙魔导士是
 拉克萨斯  伽吉鲁  温蒂  纳兹
这个世界上不存在奇迹，有的只是必然与偶然，以及谁做了什么。此话出自什么动漫？
 悠久之翼（EF系列）  樱花庄的宠物女孩  SOLA  FATE系列
“王师全面占优”出自下列哪个游戏？
 EVE  OVA  EVA  AVA
地球距离月球之间的距离为？
 384,40千米  30,400千米  384,000千米  384,400千米
幻想乡里操纵境界的妖怪是？
 尻雨魔罗沙  蕾米莉亚斯卡雷特  八云歪  八云紫
nds平台第一款游戏王是哪一年出的
2007	2006  2005  2010
 
miku左臂的数字是多少？
00	02  01  0.1
 <犬夜叉>中，戈薇的配音是谁？
 雪野四月  雪野七月  雪野五月  雪野六月
以下哪位人物是因为视力不好才戴眼镜的
 鸣上悠  梅琳  远野志贵  黑桐干也
TV动画《进撃の巨人》第6集中 “少女の奔跑”巨人是谁干掉的？
 让·基尔希斯坦  三笠·阿克曼  阿尼·利昂纳德  艾伦·耶格尔
赤座灯里最缺少的是什么？
 方向感  存在感  即视感  第六感
100 float=3.1415926;printf("%.2f",d);
 3.1415926  3  3.00  3.14
网游《坦克世界》中，S-51的完全体炮的口径是多少？
203	183  220  240
UC系高达作品中象征着量产机的胜利的是哪部作品？
 机动战士高达第08MS小队  机动战士高达00  机动战士高达0079  机动战士高达SEED
《物语系列》中谁的头发会飞速长长
 阿良良木火怜  羽川翼  阿良良木月火  阿良良木历
天元突破的男主角是谁？
 东蒙  南蒙  北蒙  西蒙
命运石之门冈部伦太郎经常自称是谁？（名字）
 凤凰院凶真  凶真  凤凰院  凤凰院真凶
以下哪个不是音频处理软件
 CoolEdit  Audition  Premiere  GoldWave
《魔法少女小圆》中学姐死的时候失去了身体的哪一部分？
 心脏  手  脚  头
《未来日记》中，“雪辉日记”的持有者是谁？
 平坂黄泉  火山高夫  我妻由乃  天野雪辉
以下哪首是洛天依的歌
 百年食谱颂  十年食谱颂  万年食谱颂  千年食谱颂
动画《刀剑神域》中桐人他女儿结衣在ALO里系统识别种族是？
 人工智能  精神健康辅助程序  NPC  导航妖精 

B站注册试题
#1 俺はGandom（我就是高达）这句话是谁说的？
 刹那·F·清英  基拉·大和  希罗·尤尔  巴纳吉·林克斯
A:  刹那·F·清英

#2 灼眼的夏娜中女主角的刀名字叫？
 妖刀心渡  闪烁之光  洞爷湖  贽殿遮那
A:贽殿遮那

#3 《摇曳百合》中京子喜爱的冰淇淋口味是什么？
 朗姆酒葡萄干  提拉米苏黑莓  覆盆子柠檬  焦糖巧克力
A: 朗姆酒葡萄干

#4 命运石之门男主角的网名是
 约翰·提托  凤凰院凶真  栗悟饭和龟派气功  凤凰院胸针
A:凤凰院凶真

#5 以下哪部游戏中没出现东风谷早苗？
 东方绯想天则  东方地灵殿  东方神灵庙  东方风神录
A:东方神灵庙

#6 《CLANNAD》中的冈崎朋也的配音是谁？
 中村悠一  中村悠  肉村悠一  肉村悠一郎
A:中村悠一

#7 《火影忍者》中的第五代火影是谁？
 漩涡鸣人  旗木卡卡西  宇智波佐助  千手纲手
A:千手纲手

#8 桂木桂马的协助者是谁？
 艾露西  琉妮  白娅·杜·罗德·赫尔梅尼姆  诺拉·芙萝莉安·蕾欧莉亚
A;艾露西  琉妮

#9 杀手47的后脑勺上有什么
 条形码  发髻  当然是头发  龙纹
A:条形码

#10 psycho pass里最美警花是谁?
 六合冢弥生  常守朱  宜野座伸元  唐之杜志恩
A:宜野座伸元

#11 《数码兽大冒险》中第八位被选召的孩子是？
 武之内素娜/武之内空  城户丈  泉光子郎  八神光/八神嘉儿
A:八神光/八神嘉儿

#12 雾雨魔理沙的口癖是？
 DA☆ZE  咪啪  death  姆Q~
A: DA☆ZE

#13 切丝papa的生日在几月几日？
 11月11日  2月14日  4月1日  12月21日
A: 11.11
#14 为动画《魔法少女小圆》中佐仓杏子一角配音的声优是？
 斋藤千和  喜多村英梨  野中蓝  悠木碧
A:野中蓝 

#15 “月有阴晴圆缺”，用科学的观点看待这件事，原因是？
 地球绕月球转动偏角不同  地球绕太阳转动，月球绕地球转动，两者转速不一样，出现偏角，使地球掩住了月球的一部分 人有悲欢离合  太阳光照射不均匀
A:地球绕太阳转动，月球绕地球转动，两者转速不一样，出现偏角，使地球掩住了月球的一部分

#16 《我的朋友很少》中，井上麻里奈为哪个角色配音？
 三日月太空  三日月空太  三日月夜空  三日月星空
三日月夜空 

#17 游戏《生化危机1》的第一女主角是谁？
 谢娃·阿洛玛  吉尔·瓦伦蒂安  蕾贝卡·钱伯斯  克莱尔.雷德菲尔德
吉尔·瓦伦蒂安

#18 回转企鹅罐中一共有多少个ED？出了多少个OST
 1，6  10，8  5，3  2，1
10，8

#19 身为纯爷们，绝对从不回头看什么
 凡人  战友  女神  爆炸
爆炸

#20 以下哪一位不是《最终幻想：零式》的CV
 丰崎爱生  林原惠美  钉宫理惠  花泽香菜
钉宫理惠

#21 《大航海时代2》阿兰的特长是什么？
 炮术  剑术  会计  测量
会计？？

#22 钢之炼金术师FA中角色张梅身边总跟着一只什么动物
 小狗  小熊猫  小鸟  小猫
熊猫

#23 Fate stay night中，士郎击杀Berserker所投影的武器叫？
 Excalibur  Enuma Elish  Aroundight  Caliburn
Caliburn石中剑

#24 幽灵行军不是谁的固有结界
 白骑士  梵·斐姆  斯菲尔丁  布拉德
幽灵行军

#25 初音未来的音源提供者是哪个声优？
 藤田关  藤田咲  藤田桑  藤田笑
藤田咲【绝对是猜的

#26 著名电子游戏《上古卷轴》是由哪家公司开发的？
 Blizzard  Bethesda  Electronic Arts  Ubisoft
Bethesda

#27 石蕗惠汰,羽濑川小鹰,须贺京太郎,大路饼藏四人的共同点[不]包括
 都是男孩子  对百合构成一定的威胁  声优均为1980年之后出生  发色均为黄色
我。。。我。。。我不知道

#28 在Mugen中，最高的人物等级是？
 论外  狂  神  凶
论外？

#29 圣斗士星矢的看家技能是？
 天马恒星拳  天马陨石拳  天马星辰拳  天马流星拳
天马流星拳

#30 魔兽世界里的联盟英雄吉安娜是什么职业
 武僧  盗贼  死亡骑士  法师
法师

#31 谁被称为日本动画界的黑泽明？
 宫崎骏  今敏  宫崎吾朗  新海诚
宫崎骏

#32 “世界已完蛋”来自于哪部作品OP的空耳？
 潜行吧奈亚子  幸运星  中二病也要谈恋爱  日常
奈那子

#33 炮姐的最爱是？
 贺氏Y太  哞太  咩太  呱太
呱太

#34 美少女战士的作者是哪位漫画家的夫人？
 藤卷忠俊  高河弓  富坚义博  尾田荣一郎
富奸

#35 陈坤在微博向大家推荐了哪部动画得到群众热烈反应？
 《Boku》  《Blood-C》  《Fate/Zero》  《Code Gease》
fz

#36 在FATE STAY NIGHT 中阿尔托莉雅的职介是什么
 SABER  LANCER  CASTER  RIDER
Saber

#37 正面上我啊是哪个人物的名台词
 高町奈叶  宫永咲  御坂美琴  秋月 爱莉
炮姐【出自HKG字幕组，大战后炮姐被黑子正面上了。。。。

#38 为《星际牛仔》《攻壳机动队》《Macross F》等动画配乐的著名音乐制作人是
 新居昭乃  菅野洋子  冈崎律子  梶浦由记
菅野洋子

#39 ⑨指的是东方project中的那个人物？
 古明地觉  蕾米莉亚·斯卡雷特  博丽灵梦  琪露诺
琪露诺

#40 《天降之物》第一集中从天而降的天使名字是？
 德玛西亚  哈雷路亚  伊洛斯儿  伊卡洛斯
伊卡洛斯

#41 路过草从最担心的是哪句话？
 妈妈卡  德玛西亚  刷特  一库油
德玛西亚吧。。。

#42 《海贼王》中与路飞同行的一位厨师是？
 白星  娜美  索隆  香吉士
香吉士

#43 自古枪兵的幸运值是多少
 a  d  b  e
E【不不枪哥幸运值肯定掉出了字母表

#44 德玛西亚之力此人物出自哪个游戏？
 《亚瑟王之剑》  《DOTA》  《英雄联盟》  《梦三国》
英雄联盟

#45 虽然我可爱又迷人，但我会招来__。
 疾病  死亡  不幸  快乐
死亡

#46 key社以下哪一部作品不是由京都动画改编？
 AIR  Kanon  CLANNAD  Little Busters!
Little Busters!是节操社的作品

#47 动漫11区指哪里？
 英国  欧洲  美国  日本
日本

#48 《CLANNAD》中，藤林杏的摩托车是什么颜色的？
 白色  蓝色  红色  粉色
这我还没补。。。。

#49 《穷神》中红叶是什么罩杯？
 AAA罩杯  A罩杯  B罩杯  AA罩杯
AA

#50 《兽的演奏者艾琳》中的里岚是雄性还是雌性？
 雌雄同体  雄性  人妖  雌性
这个。。。不知道

#51 东方幻想乡中妖怪之山上守矢神社中的风祝叫什么名字？
 八坂神奈子  东风谷早苗  洩矢诹访子  博丽灵梦
人妻苗

#52 《電腦線圈》中的沙奇(Search Mutton)，是甚麼？
 病毒驅除程式  電腦生命體  機械人  城市搜尋軟件
病毒驱除程式

#53 雾雨魔理沙在东方神灵庙（TH13）中的称号是？
 雾雨的魔法使  东洋的西洋魔术师  强欲的魔法使  普通的魔法使
 普通的魔法使（这个我也是猜的）

#54 薛定谔的猫是薛定谔的一个著名实验，其不涉及的问题是
 观测者对实验的影响  势垒穿透  量子的不确定性  量子的叠加态
势垒穿透？

#55 《海贼王》中现任海军元帅的是谁？
 斯摩格  赤犬  黄猿  巴兹尔·霍金斯
赤犬

#56 暴走漫画的男主角一般都叫什么？
 马乐碧  曹妮媚  王尼玛  倪达夜
王尼玛

#57 小鸟游六花的中二属性是什么？
 劫之眼  魔瞳  邪王真眼  神眼
邪王真眼

